Id,Type,NivelPicante,es-es,en-us,<END> (leave this in the first row of the last column)
TooMuchPlayers,UI,0,El número màximo de jugadores es,The maxumum number of players is,
NotEnoughTypesOfSentences,UI,0,Al menos un tipo de frases tiene que estar seleccionado,NotEnoughTypesOfSentences,
TypeSentenceHere,UI,0,Escribe la frase aquí,Write the sentence here,
ByUser,UI,0,Añadida por un usuario,Added by a user,
Playing,UI,0,Jugando:,Playing:,
NextPlayer,UI,0,Siguiente jugador:,Next player:,
YN_TITLE,Img,0,YN_TITLE_es-es,YN_TITLE_en-us,
VOA_Elige,UI,0,elige: ,chooses:,
VOA_VerdadButton,Img,0,VOA_VerdadButton_es-es,VOA_VerdadButton_en-us,
VOA_AtrevimientoButton,Img,0,VOA_AtrevimientoButton_es-es,VOA_AtrevimientoButton_en-us,
DDB1,UI,0,Te salvas,You're saved,
DDB2,UI,0,Bebes 2 tragos,Drink twice,
DDB3,UI,0,Bebes 3 tragos,Drink 3 times,
DDB4,UI,0,Bebes 4 tragos,Drink 4 times,
DDB5,UI,0,Bebes 5 tragos,Drink 5 times,
YN_S1,Adolescente,1,me he liado con dos personas el mismo dia,,
YN_S2,Adolescente,1,he experimentado con mi orientación sexual,,
YN_S3,Adolescente,1,he querido agrandarme el pene/pechos,,
YN_S4,Adolescente,1,he pensado que alguien besa fatal,,
YN_S5,Adolescente,1,me han metido la lengua hasta la garganta,,
YN_S6,Adolescente,1,he tonteado con alguien del mismo sexo,,
YN_S7,Adolescente,1,me he liado con alguien almenos 3 años menor,,
YN_S8,Adolescente,1,me he liado con alguien almenos 3 años mayor,,
YN_S9,Adolescente,1,me he liado con alguien que tuviera pareja,,
YN_S10,Adolescente,1,me he liado con alguien cuando yo tenia pareja,,
YN_S11,Adolescente,1,he enseñado las tetas en un concierto,,
YN_S12,Adolescente,1,me he liado con más de 10 personas en mi vida,,
YN_S13,Adolescente,1,he intentado ligar en otro idioma,,
YN_S14,Adolescente,1,he bailado desnudo,,
YN_S15,Adolescente,1,he querido ser del sexo opuesto,,
YN_S16,Adolescente,1,he tenido relaciones con el hermano/a de un amigo/a,,
YN_S17,Adolescente,1,he pensado que la persona de al lado es muy sexy,,
YN_S18,Adolescente,1,he visto porno con mis amigos,,
YN_S19,Adolescente,1,he jugado más de 500 horas a un mismo juego,,
YN_S20,Adolescente,1,le he mirado el culo a alguno de los presentes,,
YN_S21,Adolescente,1,he pensado que alguno de los presentes no llegará a nada en la vida,,
YN_S22,Adolescente,1,he tenido una relación abierta,,
YN_S23,Adolescente,1,he dudado de la orientacion sexual de alguno de los presentes,,
YN_S24,Adolescente,1,me he liado con quien está leyendo esta pregunta,,
YN_S25,Adolescente,1,he tenido una relación de más de dos años,,
YN_S26,Adolescente,1,he hecho una cobra,,
YN_S27,Adolescente,1,me han hecho una cobra,,
YN_S28,Adolescente,1,he besado a alguien que acababa de conocer,,
YN_S29,Adolescente,1,he pensado que mis tetas son perfectas,,
YN_S30,Adolescente,1,he tonteado con alguien para conseguir algo,,
YN_S31,Adolescente,1,he utilizado una aplicación para ligar,,
YN_S32,Adolescente,1,he borrado el historial del navegador para esconder algo,,
YN_S33,Adolescente,1,me he hecho una prueba de embarazo,,
YN_S34,Adolescente,1,he hecho/me han hecho un chupetón,,
YN_S35,Adolescente,1,he puesto cachondo a alguien y le he dejado con las ganas,,
YN_S36,Adolescente,1,he hecho topless en la playa,,
YN_S37,Adolescente,1,he metido mano a mi pareja en el transporte público,,
YN_S38,Adolescente,1,me he empalmado en la playa,,
YN_S39,Adolescente,1,me he empalmado en clase,,
YN_S40,Adolescente,1,le he conseguido un lio a un amigo/a,,
YN_S41,Adolescente,1,me he liado con alguien para poner celosa a otra persona,,
YN_S42,Adolescente,1,he escondio mi última conexión de whatsapp,,
YN_S43,Adolescente,1,he cambiado el nombre de un contacto para esconder quien era,,
YN_S44,Adolescente,1,me han dicho que la tengo pequeña,,
YN_S45,Adolescente,1,he tenido sueños eróticos con alguno de los presentes,,
YN_S46,Adolescente,1,he enviado un mensaje caliente a una persona equivocada,,
YN_S47,Adolescente,1,me he hexibido por webcam,,
YN_S48,Adolescente,1,he besado a dos o más de los presentes,,
YN_S49,Adolescente,1,he perreado en una discoteca,,
YN_S50,Adolescente,1,me he excitado pensando en alguno de los presentes,,
YN_S51,Adolescente,1,me he liado con alguien que no me atraía físicamente,,
YN_S52,Adolescente,1,me he dejado las llaves en casa,,
YN_S53,Adolescente,1,me he olvidado de que tenía un examen,,
YN_S54,Adolescente,1,me he olvidado de que había quedado con alguien,,
YN_S55,Adolescente,1,he conducido borracho,,
YN_S56,Adolescente,1,he pensado en matar a alguien,,
YN_S57,Adolescente,1,he huido de la policia,,
YN_S58,Adolescente,1,he robado,,
YN_S59,Adolescente,1,me he liado con 2 o más personas aquí presentes,,
YN_S60,Adolescente,1,me he liado delante de alguien que sabía que le gustaba,,
YN_S61,Adolescente,1,%me he liado con dos o más personas con el mismo nombre,,
YN_S62,Adolescente,1,%he tenido que esconderme un chupetón,,
YN_S63,Adolescente,1,%me he liado con dos personas a la vez,,
YN_S64,Adolescente,1,%me he liado con la misma persona que un amigo/a,,
YN_S65,Adolescente,1,he stalkeado a alguien aquí presente,,
YN_S66,Adolescente,1,me he liado con el ex novio/a de un amigo/a,,
YN_S67,Adolescente,1,le he dicho a alguien 'te quiero' sin sentirlo,,
YN_S68,Adolescente,1,me han puesto los cuernos,,
YN_S69,Adolescente,1,he tenido resaca,,
YN_S70,Adolescente,1,me he liado con la pareja de alguno de los presentes,,
YN_S71,Adolescente,1,me he liado con la expareja de alguno de los presentes,,
YN_S72,Adolescente,1,me he quedado con las ganas de besar a alguno de los presentes,,
YN_S73,Sexualidad,1,me he masturbado en grupo,,
YN_S74,Sexualidad,1,me he masturbado con porno,,
YN_S75,Sexualidad,1,me he masturbado con un consolador,,
YN_S76,Sexualidad,1,me he masturbado con una fruta,,
YN_S77,Sexualidad,1,me he masturbado pensando con alguno de los presentes,,
YN_S78,Sexualidad,1,me he masturbado en casa de un amigo/a,,
YN_S79,Sexualidad,1,me he masturbado más de 3 veces en un solo día,,
YN_S80,Sexualidad,1,me he masturbado para poder dormir,,
YN_S81,Sexualidad,1,me he masturbado pensando en mi ex,,
YN_S82,Sexualidad,1,me he masturbado en el instituto,,
YN_S83,Sexualidad,1,me he masturbado en un sitio público,,
YN_S84,Sexualidad,1,me he masturbado porque me aburría,,
YN_S85,Sexualidad,1,me he masturbado en la ducha,,
YN_S86,Sexualidad,1,me he masturbado en las últimas 24h,,
YN_S87,Sexualidad,1,me he masturbado con el mobil como vibrador,,
YN_S88,Sexualidad,1,me he masturbado con la foto de un amigo/a,,
YN_S89,Sexualidad,1,me he masturbado en casa de mis suegros,,
YN_S90,Sexualidad,1,me he masturbado con alguien en la habitación sin que se enterase,,
YN_S91,Sexualidad,1,me he masturbado en el instituto o universidad,,
YN_S92,Sexualidad,1,me he masturbado en el aire libre,,
YN_S93,Sexualidad,1,me han pillado masturbándome,,
YN_S94,Sexualidad,1,he practicado sexo en la cocina,,
YN_S95,Sexualidad,1,he practicado sexo en un sitio público,,
YN_S96,Sexualidad,1,he practicado sexo en casa de un amigo o conocido,,
YN_S97,Sexualidad,1,he practicado sexo en el coche,,
YN_S98,Sexualidad,1,he practicado sexo en el instituto o universidad,,
YN_S99,Sexualidad,1,he practicado sexo en un hotel,,
YN_S100,Sexualidad,1,he practicado sexo en la terraza,,
YN_S101,Sexualidad,1,he practicado sexo en el baño,,
YN_S102,Sexualidad,1,he practicado sexo en el baño de una discoteca,,
YN_S103,Sexualidad,1,he practicado sexo en la calle,,
YN_S104,Sexualidad,1,he practicado sexo en la piscina/mar,,
YN_S105,Sexualidad,1,he practicado sexo en el bosque,,
YN_S106,Sexualidad,1,he practicado sexo en un ascensor,,
YN_S107,Sexualidad,1,he practicado sexo en un lavabo portátil,,
YN_S108,Sexualidad,1,he practicado sexo en un barco,,
YN_S109,Sexualidad,1,he practicado sexo encima de un electrodoméstico,,
YN_S110,Sexualidad,1,he practicado sexo de acampada,,
YN_S111,Sexualidad,1,he hecho un trío con dos personas del sexo opuesto,,
YN_S112,Sexualidad,1,he hecho un trío,,
YN_S113,Sexualidad,1,he hecho un intercambio de parejas,,
YN_S114,Sexualidad,1,he practicado sexo con alguien 4 años mayor que yo,,
YN_S115,Sexualidad,1,he practicado sexo con alguien 4 años menor que yo,,
YN_S116,Sexualidad,1,he practicado sexo con un profesor,,
YN_S117,Sexualidad,1,he practicado sexo con el novio/a de mi amigo/a,,
YN_S118,Sexualidad,1,he practicado sexo con dos personas distintas en 24h,,
YN_S119,Sexualidad,1,he practicado sexo con 3 o más personas,,
YN_S120,Sexualidad,1,he practicado sexo con alguien del mismo sexo,,
YN_S121,Sexualidad,1,he practicado sexo con alguien solo para dar celos a otra persona,,
YN_S122,Sexualidad,1,he practicado sexo con alguien menor de edad siendo yo mayor de edad,,
YN_S123,Sexualidad,1,he practicado sexo con alguien cuyo nombre no sabia,,
YN_S124,Sexualidad,1,he practicado sexo con alguien virgen,,
YN_S125,Sexualidad,1,he practicado sexo oral,,
YN_S126,Sexualidad,1,he practicado sexo anal,,
YN_S127,Sexualidad,1,he practicado sexo sin condón,,
YN_S128,Sexualidad,1,he practicado sexo durante el periodo,,
YN_S129,Sexualidad,1,he sido atado teniendo sexo,,
YN_S130,Sexualidad,1,he atado a mi pareja teniendo sexo,,
YN_S131,Sexualidad,1,me he escaqueado para tener sexo,,
YN_S132,Sexualidad,1,tendría sexo con alguien aquí presente,,
YN_S133,Sexualidad,1,he practicado sexo mientras miraba una peli porno,,
YN_S134,Sexualidad,1,he visto porno con otra persona,,
YN_S135,Sexualidad,1,he enviado fotos desnudo/a,,
YN_S136,Sexualidad,1,he durado más de 1 hora en la cama,,
YN_S137,Sexualidad,1,he entrado en un club de striptease,,
YN_S138,Sexualidad,1,he hecho un striptease,,
YN_S139,Sexualidad,1,he pillado a mi hermano/a teniendo sexo,,
YN_S140,Sexualidad,1,he pillado a mis padres teniendo sexo,,
YN_S141,Sexualidad,1,he pillado a alguien teniendo sexo,,
YN_S142,Sexualidad,1,he roto un condón,,
YN_S143,Sexualidad,1,he hecho un 69,,
YN_S144,Sexualidad,1,he tenido un folla amigo/a,,
YN_S145,Sexualidad,1,he probado el semen,,
YN_S146,Sexualidad,1,he hecho una mamada,,
YN_S147,Sexualidad,1,he agarrado por el pelo a mi pareja durante el sexo,,
YN_S148,Sexualidad,1,he fardado de haber practicado sexo con alguien,,
YN_S149,Sexualidad,1,he dudado de mi sexualidad,,
YN_S150,Sexualidad,1,he tomado la pastilla del dia de después,,
YN_S151,Sexualidad,1,he besado a alguien del mismo sexo,,
YN_S152,Sexualidad,1,he practicado sexo enfrente de un espejo,,
YN_S153,Sexualidad,1,he practicado sexo en la primera cita,,
YN_S154,Sexualidad,1,he perdido la virginidad en un sitio distinto a una cama,,
YN_S155,Sexualidad,1,he llamado a alguien por otro nombre durante el sexo,,
YN_S156,Sexualidad,1,he hecho una mamada mientras mi pareja conducía,,
YN_S157,Sexualidad,1,me han hecho una mamada mientras conducía,,
YN_S158,Sexualidad,1,he dado un beso negro,,
YN_S159,Sexualidad,1,me han dado un beso negro,,
YN_S160,Sexualidad,1,he mentido sobre ser virgen,,
YN_S161,Sexualidad,1,he mentido sobre el tamaño de mi pene,,
YN_S162,Sexualidad,1,he mentido sobre alguna experiencia sexual,,
YN_S163,Sexualidad,1,he tenido semen en la cara,,
YN_S164,Sexualidad,1,he dado un masaje con final feliz,,
YN_S165,Sexualidad,1,he despertado a alguien durante el sexo,,
YN_S166,Sexualidad,1,me he dormido durante el sexo,,
YN_S167,Sexualidad,1,he pagado por sexo,,
YN_S168,Sexualidad,1,me han pagado por sexo,,
YN_S169,Sexualidad,1,he fingido un orgasmo,,
YN_S170,Sexualidad,1,he practicado sexo borracho/a,,
YN_S171,Sexualidad,1,he mentido sobre mi edad,,
YN_S172,Sexualidad,1,he probado alguna postura que he visto en el kamasutra,,
YN_S173,Sexualidad,1,he practicado sexo con una persona aquí presente,,
YN_S174,Sexualidad,1,he practicado sexo con más de una persona aquí presentes,,
YN_S175,Sexualidad,1,haría un trío con dos personas aquí presentes,,
YN_S176,Sexualidad,1,he mirado Hentai,,
YN_S177,Sexualidad,1,me he imaginado a alguien aquí presente follando,,
YN_S178,Sexualidad,1,he mirado porno zoofilico,,
YN_S179,Sexualidad,1,he participado en un orgía,,
YN_S180,Sexualidad,1,he practicado sexo telefónico,,
YN_S181,Sexualidad,1,he practicado sexo con un/a madurito/a,,
YN_S182,Sexualidad,1,he escuchado alguno de los presentes follando,,
YN_S183,Sexualidad,1,he sido gravado mientras tenia relaciones sexuales,,
YN_S184,Sexualidad,1,he practicado sexo durante almenos 3 horas seguidas,,
YN_S185,Sexualidad,1,tendria sexo con la pareja de un amigo/a,,
YN_S186,Sexualidad,1,he tenido un gatillazo,,
YN_S187,Sexualidad,1,he pensado que soy muy bueno practicando sexo oral,,
YN_S188,Sexualidad,1,he pensado que alguien de los presentes es ninfómano/a,,
YN_S189,Sexualidad,1,he ido a un hotel para tener relaciones sexuales,,
YN_S190,Sexualidad,1,he gemido demasiado fuerte,,
YN_S191,Sexualidad,1,he intentado hacer posturas extrañas del kamasutra,,
YN_S192,Sexualidad,1,he practicado sexo con mas de 5 personas en mi vida,,
YN_S193,Sexualidad,1,he pensado que soy asexual,,
YN_S194,Sexualidad,1,he hecho marcha atrás,,
YN_S195,Sexualidad,1,he parado de follar para ir a cagar,,
YN_S196,Sexualidad,1,me acostaría con alguien mayor de 40 años por 20.000€,,
YN_S197,Sexualidad,1,me han dado un cachete mientras tenía relaciones sexuales,,
YN_S198,Sexualidad,1,he viajado más de una hora para tener relaciones sexuales,,
YN_S199,Sexualidad,1,he llamado a alguien por un mote durante el sexo,,
YN_S200,Sexualidad,1,he visto a alguien teniendo sexo en un coche,,
YN_S201,Sexualidad,1,me he equivocado de agujero,,
YN_S202,Sexualidad,1,%he practicado sexo oral a alguien que acababa de tener relaciones sexuales,,
YN_S203,Sexualidad,1,%he recibido sexo oral sin estar depilado/a,,
YN_S204,Sexualidad,1,%he practicado sexo oral a alguien que no estaba depilado/a,,
YN_S205,Sexualidad,1,%he tenido relaciones sexuales con un amigo/a,,
YN_S206,Sexualidad,1,%me he liado con más de una persona del mismo grupo de amigos,,
YN_S207,Sexualidad,1,%he acabo follando y no me lo esperaba,,
YN_S208,Sexualidad,1,he utilizado algún juguete sexual,,
YN_S209,Sexualidad,1,he follado sin ganas,,
YN_S210,Sexualidad,1,he pensado que alguno de los presentes necesita un polvo urgentemente,,
YN_S211,Sexualidad,1,he rechazado un trío,,
YN_S212,Sexualidad,1,he pegado a alguien,,
YN_S213,Sexualidad,1,me he arrastrado por alguien,,
YN_S214,Sexualidad,1,he tenido conversaciones eróticas por teléfono,,
YN_S215,Sexualidad,1,he bebido en el colegio o instituto,,
YN_S216,Sexualidad,1,me he liado con alguien de mi mismo sexo,,
YN_S217,Sexualidad,1,me he inventado que me habia liado con alguien,,
YN_S218,Sexualidad,1,me he liado con un amigo/a por diversión,,
YN_S219,Sexualidad,1,me he duchado con alguien,,
YN_S220,Sexualidad,1,me he liado después de potar,,
YN_S221,Sexualidad,1,me he masturbado con alguien al lado,,
YN_S222,Sexualidad,1,he tenido celos de alguien aquí presente,,
YN_S223,Sexualidad,1,he tenido dos citas o más en un día,,
YN_S224,Sexualidad,1,se me ha caido el móvil por el retrete,,
YN_S225,Sexualidad,1,me han masturbado o he masturbado a alguien con los piés,,
YN_S226,Sexualidad,1,he follado con gente en casa,,
YN_S227,Sexualidad,1,he perdido la virginidad en casa de un amigo/a,,
YN_S228,Sexualidad,1,he tenido relaciones sexuales con un padre o una madre,,
YN_S229,Sexualidad,1,he tenido relaciones sexuales con el ex de un amigo/a,,
YN_S230,Sexualidad,1,me he escapado de casa mientras mis padres dormian,,
YN_S231,Sexualidad,1,he utilizado la misma ropa interior durante dos o más días,,
YN_S232,Sexualidad,1,he tenido una cita a ciegas,,
YN_S233,Sexualidad,1,me he masturbado en el coche,,
YN_S234,Sexualidad,1,he pillado a mis padres follando,,
YN_S235,Sexualidad,1,me he liado con el hermano/a de un amigo/a,,
YN_S236,Sexualidad,1,me he masturbado 4 o más veces en 24 horas,,
YN_S237,Sexualidad,1,he hecho o me han hecho una cubana,,
YN_S238,Sexualidad,1,me he tragado el semen de otra persona,,
YN_S239,Sexualidad,1,he pensado que el tamaño importa,,
YN_S240,Sexualidad,1,me he masturbado con el chorro de la dutxa,,
YN_S241,Sexualidad,1,besaría al jugador/a de mi derecha,,
YN_S242,Sexualidad,1,besaría al jugador/a de mi izquierda,,
YN_S243,Sexualidad,1,besaría a alguien aquí presente,,
YN_S244,Vergüenza,1,me he avergonzado de haber tenido relaciones sexuales con alguien,,
YN_S245,Vergüenza,1,he apagado la luz del pasillo y he ido corriendo a mi habitación,,
YN_S246,Vergüenza,1,me he meado encima en los últimos 5 años,,
YN_S247,Vergüenza,1,me he reido en un funeral,,
YN_S248,Vergüenza,1,me he caído al suelo por la calle,,
YN_S249,Vergüenza,1,le he escupido a alguien sin querer,,
YN_S250,Vergüenza,1,se me ha quitado el bañador por accidente,,
YN_S251,Vergüenza,1,me he tirado un pedo delante de todo el mundo,,
YN_S252,Vergüenza,1,me he hecho fotos chonis/canis en el lavabo,,
YN_S253,Vergüenza,1,he tropezado en público,,
YN_S254,Vergüenza,1,me he cortado depilándome las partes íntimas,,
YN_S255,Vergüenza,1,he roto unos pantalones por la entrepierna,,
YN_S256,Vergüenza,1,he llevado una faja,,
YN_S257,Vergüenza,1,he sido rechazado por 2 o más personas en una noche,,
YN_S258,Vergüenza,1,he sido expulsado de una discoteca por ir demasiado borracho,,
YN_S259,Vergüenza,1,he sido multado por mear en la calle,,
YN_S260,Vergüenza,1,no me he quitado los zapatos porque me olían los pies,,
YN_S261,Vergüenza,1,he mentido jugando al yo nunca,,
YN_S262,Vergüenza,1,he mentido sobre mi para poder ligar,,
YN_S263,Vergüenza,1,he llamado a alguien por whatsapp sin querer,,
YN_S264,Vergüenza,1,he hecho un sinpa,,
YN_S265,Vergüenza,1,me he colado en un sitio prohibido,,
YN_S266,Vergüenza,1,%he pensado que le caigo mal a alguien aquí presente,,
YN_S267,Vergüenza,1,%he entrado en el baño del sexo opuesto,,
YN_S268,Vergüenza,1,%he sido denunciado por mis vecinos,,
YN_S269,Vergüenza,1,he bailado desnudo delante de un espejo,,
YN_S270,Vergüenza,1,%me he imaginado el tamaño del pene de un amigo,,
YN_S271,Vergüenza,1,%le he mirado las tetas a una amiga,,
YN_S272,Vergüenza,1,he falsificado una firma,,
YN_S273,Vergüenza,1,he visto tutoriales de carácter sexual,,
YN_S274,Instituto,1,he copiado en un examen,,
YN_S275,Instituto,1,he sido pillado copiando en un examen,,
YN_S276,Instituto,1,me he sentido atraído por un profesor o profesora,,
YN_S277,Instituto,1,he terminado una goma de borrar,,
YN_S278,Instituto,1,he insultado a un profesor,,
YN_S279,Instituto,1,he tenido fantasias sexuales con algún profesor,,
YN_S280,Instituto,1,me he dormido en clase,,
YN_S281,Instituto,1,he fingido estar enfermo para no ir al instituto,,
YN_S282,Instituto,1,he mentido sobre mi resultado en un examen,,
YN_S283,Instituto,1,le he hecho la pelota a un profesor para conseguir algo,,
YN_S284,Alcohol,1,he bebido más de 5 cubatas en una noche,,
YN_S285,Alcohol,1,he emborrachado a alguien para aprovecharme,,
YN_S286,Alcohol,1,he vomitado por culpa del alcohol,,
YN_S287,Alcohol,1,he olvidado algo de la noche anterior por culpa del alcohol,,
YN_S288,Alcohol,1,he bebido alcohol por presión social,,
YN_S289,Alcohol,1,he hecho un concurso de chupitos,,
YN_S290,Alcohol,1,he fumado hierba,,
YN_S291,Alcohol,1,he sido multado por ir borracho,,
YN_S292,Alcohol,1,me he caido yendo borracho,,
YN_S293,Alcohol,1,he bebido de la copa de otro,,
YN_S294,Alcohol,1,he sufrido un coma etílico,,
YN_S295,Alcohol,1,he sido el borracho del grupo,,
YN_S296,Alcohol,1,no he podido beber porque tenía que conducir,,
YN_S297,Alcohol,1,no he podido beber porque tenía que estudiar al día siguiente,,
YN_S298,Alcohol,1,me han pillado mis padres borracho,,
YN_S299,Alcohol,1,me han pillado mis padres fumando,,
YN_S300,Alcohol,1,he tenido que cuidar de un amigo borracho,,
YN_S301,Alcohol,1,me han tenido que cuidar por estar borracho,,
YN_S302,Alcohol,1,me he despertado sin saber donde estaba,,
YN_S303,Alcohol,1,he sido el último en salir de una discoteca,,
YN_S304,Alcohol,1,he ido borracho a clase,,
YN_S305,Alcohol,1,he ido colocado a clase,,
YN_S306,Alcohol,1,he fumado de escondidas en el instituto,,
YN_S307,Alcohol,1,he probado alguna droga dura,,
YN_S308,Alcohol,1,he fumado de escondidas en mi casa,,
YN_S309,Alcohol,1,le he escondido que fumaba a alguien,,
YN_S310,Alcohol,1,he tomado drogas para tener sexo,,
YN_S311,Alcohol,1,me he emborachado más de tres días seguidos,,
YN_S312,Alcohol,1,me he emborachado con mis padres,,
YN_S313,Alcohol,1,he probado las setas,,
YN_S314,Trabajo,1,he ido a trabajar borracho o con resaca,,
YN_S315,Trabajo,1,he mentido para escaquearme del trabajo,,
YN_S316,Trabajo,1,he hecho ver que trabajaba cuando se acercaba alguien,,
YN_S317,Trabajo,1,he mentido en una entrevista de trabajo,,
YN_S318,Trabajo,1,he pedido un aumento,,
YN_S319,Trabajo,1,he odiado a mi jefe,,
YN_S320,Trabajo,1,he intentado ligar durante el trabajo,,
YN_S321,Trabajo,1,he dimitido,,
YN_S322,Trabajo,1,me he masturbado en el trabajo,,
YN_S323,Trabajo,1,he pensado en tirarme a mi jefe/a para conseguir un ascenso,,
YN_S324,Asquerosidad,1,he vomitado mientras besaba a alguien,,
YN_S325,Asquerosidad,1,me he tirado un pedo en la piscina,,
YN_S326,Asquerosidad,1,me he tirado un pedo mientras tenia relaciones sexuales,,
YN_S327,Asquerosidad,1,he salido a la calle sin ropa interior,,
YN_S328,Asquerosidad,1,he evitado cagar durante dias cuando me iva de campamentos o viaje,,
YN_S329,Asquerosidad,1,he pensado que alguno de los presentes huele mal,,
YN_S330,Asquerosidad,1,me he tirado un pedo silencioso,,
YN_S331,Asquerosidad,1,me he liado después de vomitar,,
YN_S332,Asquerosidad,1,he vomitado encima del alguien,,
YN_S333,Asquerosidad,1,he eructado mientras estava besando a alguien,,
YN_S334,Asquerosidad,1,he estado una semana sin ducharme,,
YN_S335,Asquerosidad,1,me he cagado en la bañera,,
YN_S336,Asquerosidad,1,me he comido un moco en la última semana,,
YN_S337,Asquerosidad,1,me he olfateado la axila en público,,
YN_S338,Asquerosidad,1,me he rascado las partes en público,,
YN_S339,Asquerosidad,1,me he masturbado y no me lavado las manos después,,
YN_S340,Asquerosidad,1,me he tirado un pedo mientras comía,,
YN_S341,Asquerosidad,1,me he vomitado encima,,
YN_S342,Asquerosidad,1,le he mordido el culo a alguien,,
YN_S343,Asquerosidad,1,le he chupado el pie a alguien,,
YN_S344,Asquerosidad,1,he probado comida de perro,,
YN_S345,Asquerosidad,1,he olido mis calcetines después de quitármelos,,
YN_S346,Asquerosidad,1,he olido mis bragas después de quitármelas,,
YN_S347,Asquerosidad,1,me he tirado un pedo y le he dado la culpa a otro,,
YN_S348,Asquerosidad,1,me he masturbado y me he limpiado con la camiseta,,
YN_S349,Asquerosidad,1,he tenido corrida en el pelo,,
YN_S350,Asquerosidad,1,me he metido el dedo por el culo,,
YN_S351,Asquerosidad,1,me he olido las manos después de rascarme las partes íntimas,,
YN_S352,Asquerosidad,1,he cagado en la playa,,
YN_S353,Asquerosidad,1,me he salpicado al cagar,,
YN_S354,Asquerosidad,1,me he rascado el culo y me he olido los dedos,,
YN_S355,Asquerosidad,1,me comería una rata por 1000€,,
YN_S356,Asquerosidad,1,he pegado un moco debajo de la mesa,,
YN_S357,Asquerosidad,1,me he grabado mientras cagaba,,
YN_S358,Asquerosidad,1,he pensado en probar las heces,,
YN_S359,Asquerosidad,1,he dejado las heces de mi perro en la calle,,
YN_S360,Asquerosidad,1,he pensado en probar el semen,,
YN_S361,Asquerosidad,1,he pensado en como seria probar la regla,,
YN_S362,Asquerosidad,1,me he depilado las partes íntimas,,
YN_S363,Asquerosidad,1,me he medido el pene,,
YN_S364,Asquerosidad,1,%he probado hasta donde podía tragarme algo,,
YN_S365,Asquerosidad,1,he hecho un concurso de eructos,,
VOA_S_V1,Sexualidad,8,¿Cual es la postura más rara que has hecho durante el sexo?,,
VOA_S_V2,Sexualidad,8,¿Cuando tuviste relaciones sexuales por primera vez?,,
VOA_S_V3,Sexualidad,8,¿Donde tuviste relaciones sexuales por primera vez?,,
VOA_S_V4,Sexualidad,8,¿Probarías a tener relaciones sexuales con alguien del mismo sexo?,,
VOA_S_V5,Sexualidad,8,¿Te han pillado alguna vez mirando porno?,,
